rowIndex,Name,mapId,slug,url,file_all,type,collection
196,East Flushing,645083c96ae8ed00014e0df3,east-flushing,https://share.livexyz.com/maplist/645083c96ae8ed00014e0df3?theme=dark&tags=&pinSize=&pinColor=&zoom=&bearing=&lat=&lng=&showSubwayLines=,assets/all/645083c96ae8ed00014e0df3__east-flushing.jpg,geography,neighborhood
197,Bedford Park,6451cb5b1a8ee10001de7c95,bedford-park,https://share.livexyz.com/maplist/6451cb5b1a8ee10001de7c95?theme=dark&tags=&pinSize=&pinColor=&zoom=&bearing=&lat=&lng=&showSubwayLines=,assets/all/6451cb5b1a8ee10001de7c95__bedford-park.jpg,geography,neighborhood
198,Melrose,6458697f1a8ee100018b6169,melrose,https://share.livexyz.com/maplist/6458697f1a8ee100018b6169?theme=dark&tags=&pinSize=&pinColor=&zoom=&bearing=&lat=&lng=&showSubwayLines=,assets/all/6458697f1a8ee100018b6169__melrose.jpg,geography,neighborhood
199,Hunts Point,6458698a1a8ee100018b616c,hunts-point,https://share.livexyz.com/maplist/6458698a1a8ee100018b616c?theme=dark&tags=&pinSize=&pinColor=&zoom=&bearing=&lat=&lng=&showSubwayLines=,assets/all/6458698a1a8ee100018b616c__hunts-point.jpg,geography,neighborhood
200,Longwood,645869956ae8ed0001509a87,longwood,https://share.livexyz.com/maplist/645869956ae8ed0001509a87?theme=dark&tags=&pinSize=&pinColor=&zoom=&bearing=&lat=&lng=&showSubwayLines=,assets/all/645869956ae8ed0001509a87__longwood.jpg,geography,neighborhood
201,Crotona Park East,645869b56ae8ed0001509a8c,crotona-park-east,https://share.livexyz.com/maplist/645869b56ae8ed0001509a8c?theme=dark&tags=&pinSize=&pinColor=&zoom=&bearing=&lat=&lng=&showSubwayLines=,assets/all/645869b56ae8ed0001509a8c__crotona-park-east.jpg,geography,neighborhood
202,Soundview-Bruckner-Bronx River,645869d21a8ee100018b6179,soundview-bruckner-bronx-river,https://share.livexyz.com/maplist/645869d21a8ee100018b6179?theme=dark&tags=&pinSize=&pinColor=&zoom=&bearing=&lat=&lng=&showSubwayLines=,assets/all/645869d21a8ee100018b6179__soundview-bruckner-bronx-river.jpg,geography,neighborhood
203,Ozone Park (North),6459b7506ae8ed00015141e7,ozone-park-north,https://share.livexyz.com/maplist/6459b7506ae8ed00015141e7?theme=dark&tags=&pinSize=&pinColor=&zoom=&bearing=&lat=&lng=&showSubwayLines=,assets/all/6459b7506ae8ed00015141e7__ozone-park-north.jpg,geography,neighborhood
204,Bayside,6459b7716ae8ed00015141ec,bayside,https://share.livexyz.com/maplist/6459b7716ae8ed00015141ec?theme=dark&tags=&pinSize=&pinColor=&zoom=&bearing=&lat=&lng=&showSubwayLines=,assets/all/6459b7716ae8ed00015141ec__bayside.jpg,geography,neighborhood
205,Castle Hill-Unionport,645d95326ae8ed0001c5c5da,castle-hill-unionport,https://share.livexyz.com/maplist/645d95326ae8ed0001c5c5da?theme=dark&tags=&pinSize=&pinColor=&zoom=&bearing=&lat=&lng=&showSubwayLines=,assets/all/645d95326ae8ed0001c5c5da__castle-hill-unionport.jpg,geography,neighborhood
206,Pelham Parkway-Van Nest,645e93ec6ae8ed0001c5fb85,pelham-parkway-van-nest,https://share.livexyz.com/maplist/645e93ec6ae8ed0001c5fb85?theme=dark&tags=&pinSize=&pinColor=&zoom=&bearing=&lat=&lng=&showSubwayLines=,assets/all/645e93ec6ae8ed0001c5fb85__pelham-parkway-van-nest.jpg,geography,neighborhood
207,St. George-New Brighton,646295955909c50001eff63e,st-george-new-brighton,https://share.livexyz.com/maplist/646295955909c50001eff63e?theme=dark&tags=&pinSize=&pinColor=&zoom=&bearing=&lat=&lng=&showSubwayLines=,assets/all/646295955909c50001eff63e__st-george-new-brighton.jpg,geography,neighborhood
208,Westerleigh-Castleton Corners,646295ee97b8c7000166b729,westerleigh-castleton-corners,https://share.livexyz.com/maplist/646295ee97b8c7000166b729?theme=dark&tags=&pinSize=&pinColor=&zoom=&bearing=&lat=&lng=&showSubwayLines=,assets/all/646295ee97b8c7000166b729__westerleigh-castleton-corners.jpg,geography,neighborhood
209,New Dorp-Midland Beach,646296b897b8c7000166b792,new-dorp-midland-beach,https://share.livexyz.com/maplist/646296b897b8c7000166b792?theme=dark&tags=&pinSize=&pinColor=&zoom=&bearing=&lat=&lng=&showSubwayLines=,assets/all/646296b897b8c7000166b792__new-dorp-midland-beach.jpg,geography,neighborhood
210,Queensbridge-Ravenswood-Dutch Kills,6445df021a8ee10001e95627,queensbridge-ravenswood-dutch-kills,https://share.livexyz.com/maplist/6445df021a8ee10001e95627?theme=dark&tags=&pinSize=&pinColor=&zoom=&bearing=&lat=&lng=&showSubwayLines=,assets/all/6445df021a8ee10001e95627__queensbridge-ravenswood-dutch-kills.jpg,geography,neighborhood
211,Mount Hope,644b1a3d6ae8ed00014ca099,mount-hope,https://share.livexyz.com/maplist/644b1a3d6ae8ed00014ca099?theme=dark&tags=&pinSize=&pinColor=&zoom=&bearing=&lat=&lng=&showSubwayLines=,assets/all/644b1a3d6ae8ed00014ca099__mount-hope.jpg,geography,neighborhood
